path,kind,description,source
figures/skill_first30_to_pre512_launch_poster_page_pack_canvas-design_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_launch_poster_page_pack_canvas-design_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_launch_poster_page_pack_canvas-design_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_launch_poster_page_pack_canvas-design_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_launch_poster_page_pack_theme-factory_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_launch_poster_page_pack_theme-factory_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_launch_poster_page_pack_theme-factory_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_launch_poster_page_pack_theme-factory_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_launch_poster_page_pack_web-artifacts-builder_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_launch_poster_page_pack_web-artifacts-builder_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_launch_poster_page_pack_web-artifacts-builder_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_launch_poster_page_pack_web-artifacts-builder_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_mcp_server_and_spec_doc-coauthoring_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_mcp_server_and_spec_doc-coauthoring_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_mcp_server_and_spec_doc-coauthoring_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_mcp_server_and_spec_doc-coauthoring_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_mcp_server_and_spec_mcp-builder_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_mcp_server_and_spec_mcp-builder_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_mcp_server_and_spec_mcp-builder_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_mcp_server_and_spec_mcp-builder_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_slack_launch_pack_brand-guidelines_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_slack_launch_pack_brand-guidelines_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_slack_launch_pack_brand-guidelines_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_slack_launch_pack_brand-guidelines_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_slack_launch_pack_internal-comms_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_slack_launch_pack_internal-comms_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_slack_launch_pack_internal-comms_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_slack_launch_pack_internal-comms_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_slack_launch_pack_slack-gif-creator_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_slack_launch_pack_slack-gif-creator_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_slack_launch_pack_slack-gif-creator_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_slack_launch_pack_slack-gif-creator_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_web_artifact_with_theme_theme-factory_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_web_artifact_with_theme_theme-factory_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_web_artifact_with_theme_theme-factory_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_web_artifact_with_theme_theme-factory_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_web_artifact_with_theme_web-artifacts-builder_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/skill_first30_to_pre512_web_artifact_with_theme_web-artifacts-builder_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_web_artifact_with_theme_web-artifacts-builder_occ3.png,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
figures/final_assistant_to_context_skill_web_artifact_with_theme_web-artifacts-builder_occ3.pdf,figure,Validated recompute prefill attention heatmap,/mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/dumps and /mnt/Large_Language_Model_Lab_1/wsh/Segmentia/output/06_context_free_segment_cache/skill_prefill_attention/occ3/capture_manifest.jsonl
